Code,Literal,Literal_clean,Literal_norm,code_type,chapter,is_icd10,D_P,Description
O9081,Anemia pueperio,Anemia pueperio,anemia pueperio,diagnosis,O,True,D,Anemia puerperal
O0090,GEU,GEU,geu,diagnosis,O,True,D,"Embarazo ectópico no especificado, sin embarazo intrauterino"
N805,617.5,617.5,617.5,diagnosis,N,True,D,Endometriosis intestinal
BW30ZZZ,RMN abd,RMN abd,rmn abd,diagnosis,B,True,P,Imagen por resonancia magnética (rm) de abdomen
O714,desgarro en vagina,desgarro en vagina,desgarro en vagina,diagnosis,O,True,D,"Desgarro vaginal obstétrico alto, único"
I4892,Flutter auricular,Flutter auricular,flutter auricular,diagnosis,I,True,D,Flutter auricular no especificado
78060,febril,febril,febril,procedure,7,False,,
10D17ZZ,Legrado obstétrico,Legrado obstétrico,legrado obstetrico,procedure,1,True,P,"Extracción de productos de la concepción, retenidos, abordaje orificio natural o artificial"
9929,paracetamol,paracetamol,paracetamol,procedure,9,False,,
2809,Anemia hipocromica microcitica,Anemia hipocromica microcitica,anemia hipocromica microcitica,procedure,2,False,,
3E0337Z,ondansetron,ondansetron,ondansetron,procedure,3,True,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo"
P011,rpm rn,rpm rn,rpm rn,diagnosis,P,True,D,Recién nacido afectado por rotura prematura de membranas
J440,EPOC infeccion respiratoria,EPOC infeccion respiratoria,epoc infeccion respiratoria,diagnosis,J,True,D,Enfermedad pulmonar obstructiva crónica con infección (aguda) de las vías respiratorias inferiores
C61,Neoplasia de próstata,Neoplasia de próstata,neoplasia de prostata,diagnosis,C,True,D,Neoplasia maligna de próstata
7243,Lumbociatica,Lumbociatica,lumbociatica,procedure,7,False,,
F05,sd confusional,sd confusional,sd confusional,diagnosis,F,True,D,Delirio debido a afección fisiológica conocida
6039,hidrocele,hidrocele,hidrocele,procedure,6,False,,
25060,Polineuropatía diabética 2,Polineuropatía diabética 2,polineuropatia diabetica 2,procedure,2,False,,
M797,FIBROMIALGIA,FIBROMIALGIA,fibromialgia,diagnosis,M,True,D,Fibromialgia
9906,fibrinógeno,fibrinógeno,fibrinogeno,procedure,9,False,,
Z603,barrera idiomàtica,barrera idiomàtica,barrera idiomatica,diagnosis,Z,True,D,Dificultades por aculturación
0BBN3ZX,Biòpsia pleural derecha,Biòpsia pleural derecha,biopsia pleural derecha,procedure,0,True,P,"Escisión de pleura, derecha, diagnóstico, abordaje percutáneo"
0796,VRS,VRS,vrs,procedure,0,False,,
1976,peritoneal,peritoneal,peritoneal,procedure,1,False,,
T25322A,Quemadura 3 pie izquierdo,Quemadura 3 pie izquierdo,quemadura 3 pie izquierdo,diagnosis,T,True,D,"Quemadura de tercer grado del pie izquierdo, contacto inicial"
M3500,síndrome seco,síndrome seco,sindrome seco,diagnosis,M,True,D,"Síndrome de Sjögren, no especificado"
Z91419,maltrato historia,maltrato historia,maltrato historia,diagnosis,Z,True,D,Historia personal de maltrato en adulto no especificado
1410,ca base de lengua,ca base de lengua,ca base de lengua,procedure,1,False,,
Z8611,Historia tuberculosa,Historia tuberculosa,historia tuberculosa,diagnosis,Z,True,D,Historia personal de tuberculosis
3482,Hipertensión intracraneal benigna,Hipertensión intracraneal benigna,hipertension intracraneal benigna,procedure,3,False,,
56032,Fecaloma,Fecaloma,fecaloma,procedure,5,False,,
2271,Adenoma paratiroides,Adenoma paratiroides,adenoma paratiroides,procedure,2,False,,
E46,E46,E46,e46,diagnosis,E,True,D,Malnutrición calórico-proteica no especificada
M1990,Patología artrodegenerativa,Patología artrodegenerativa,patologia artrodegenerativa,diagnosis,M,True,D,"Artrosis no especificada, localización no especificada"
5794,Sondatge vesical,Sondatge vesical,sondatge vesical,procedure,5,False,,
C9310,lmmc,lmmc,lmmc,diagnosis,C,True,D,"Leucemia mielomonocítica crónica, sin haber alcanzado remisión"
08RJ3JZ,FACO + LIO OD,FACO + LIO OD,faco + lio od,procedure,0,True,P,"Sustitución de cristalino, derecho, con sustituto sintético, abordaje percutáneo"
E6601,Obesidad Mórbida,Obesidad Mórbida,obesidad morbida,diagnosis,E,True,D,Obesidad mórbida (severa) por exceso de calorías
6561,anexectomia bialteral,anexectomia bialteral,anexectomia bialteral,procedure,6,False,,
O700,o700,o700,o700,diagnosis,O,True,D,Desgarro perineal de primer grado en el parto
3439,pci,pci,pci,procedure,3,False,,
Z6711,Grupo sanguíneo: A Rh negativo,Grupo sanguíneo: A Rh negativo,grupo sanguineo: a rh negativo,diagnosis,Z,True,D,"Grupo sanguíneo A, Rh negativo"
9911,gamma anti d,gamma anti d,gamma anti d,procedure,9,False,,
G253,mioclonias,mioclonias,mioclonias,diagnosis,G,True,D,Mioclonía
Z3A36,36+1 semanas,36+1 semanas,36+1 semanas,diagnosis,Z,True,D,36 semanas de gestación
B951,S. Agalactiae,S. Agalactiae,s. agalactiae,diagnosis,B,True,D,"Estreptococo, grupo B, como causa de enfermedades clasificadas bajo otro concepto"
5600,Invaginació intestinal,Invaginació intestinal,invaginacio intestinal,procedure,5,False,,
99859,INFECCIÓN HERIDA QUIRÚRGICA,INFECCIÓN HERIDA QUIRÚRGICA,infeccion herida quirurgica,procedure,9,False,,
R633,Problemas alimentacion,Problemas alimentacion,problemas alimentacion,diagnosis,R,True,D,Dificultades para la alimentación
0HB1XZZ,exeresis piel nariz,exeresis piel nariz,exeresis piel nariz,procedure,0,True,P,"Escisión de piel, cara, abordaje externo"
O700,Desgarro de 1º grado,Desgarro de 1º grado,desgarro de 1º grado,diagnosis,O,True,D,Desgarro perineal de primer grado en el parto
V4581,bypass coronarios,bypass coronarios,bypass coronarios,diagnosis,V,False,,
O700,Desgarro 1,Desgarro 1,desgarro 1,diagnosis,O,True,D,Desgarro perineal de primer grado en el parto
33829,Dolor crónico,Dolor crónico,dolor cronico,procedure,3,False,,
BV44ZZZ,Ecografía escrot,Ecografía escrot,ecografia escrot,diagnosis,B,True,P,Ecografía de escroto
07TD0ZZ,linfadenectomia paraaortica,linfadenectomia paraaortica,linfadenectomia paraaortica,procedure,0,True,P,"Resección de linfático, aórtico, abordaje abierto"
BR00ZZZ,radiografías cervicales,radiografías cervicales,radiografias cervicales,diagnosis,B,True,P,Radiografía simple de columna cervical
65843,corioamnionitis anteparto,corioamnionitis anteparto,corioamnionitis anteparto,procedure,6,False,,
Z902,LOBECTOMIA,LOBECTOMIA,lobectomia,diagnosis,Z,True,D,Ausencia adquirida (de parte) del pulmón
55010,Hernia inguinal izquierda incarcerada,Hernia inguinal izquierda incarcerada,hernia inguinal izquierda incarcerada,procedure,5,False,,
Z20822,PCR SARSCOV2 negativa,PCR SARSCOV2 negativa,pcr sarscov2 negativa,diagnosis,Z,True,D,Contacto y (sospecha de) exposición a COVID-19
B3732,candidiasis vulvovaginal,candidiasis vulvovaginal,candidiasis vulvovaginal,diagnosis,B,True,D,Candidiasis crónica de vulva y vagina
42760,extrasístoles,extrasístoles,extrasistoles,procedure,4,False,,
099500Z,DTT,DTT,dtt,procedure,0,True,P,"Drenaje en oído medio, derecho, con dispositivo de drenaje, abordaje abierto"
V270,recién nacida,recién nacida,recien nacida,diagnosis,V,True,D,Conductor de motocicleta lesionado en colisión con objeto fijo o estacionado en un accidente no de tráfico
N281,quistes sinusales renales,quistes sinusales renales,quistes sinusales renales,diagnosis,N,True,D,"Quiste de riñón, adquirido"
4539,Trombosis,Trombosis,trombosis,procedure,4,False,,
3E0F7GC,nebulitzat,nebulitzat,nebulitzat,procedure,3,True,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial"
I10,Hipertensió arterial,Hipertensió arterial,hipertensio arterial,diagnosis,I,True,D,Hipertensión esencial (primaria)
H509,Estrabismo,Estrabismo,estrabismo,diagnosis,H,True,D,Estrabismo no especificado
V1506,Al·lergia acaros,Al·lergia acaros,al·lergia acaros,diagnosis,V,False,,
O30043,Gestación bicorial-biamniótica,Gestación bicorial-biamniótica,gestacion bicorial-biamniotica,diagnosis,O,True,D,"Embarazo gemelar dicoriónico/ diamniótico, tercer trimestre"
M7550,Tendinitis supraespinoso hombro derecho,Tendinitis supraespinoso hombro derecho,tendinitis supraespinoso hombro derecho,diagnosis,M,True,D,"Bursitis de hombro, lado no especificado"
O00101,GEU tubarico derecha,GEU tubarico derecha,geu tubarico derecha,diagnosis,O,True,D,Embarazo tubárico derecho sin embarazo intrauterino
L280,LIQUEN,LIQUEN,liquen,diagnosis,L,True,D,Liquen simple crónico
S32402A,Fractura de acetábulo izquierdo,Fractura de acetábulo izquierdo,fractura de acetabulo izquierdo,diagnosis,S,True,D,"Fractura no especificada de acetábulo izquierdo, contacto inicial por fractura cerrada"
V861,RE negativos,RE negativos,re negativos,diagnosis,V,True,D,Pasajero de todoterreno especial u otro vehículo todoterreno lesionado en accidente de tráfico
3129,alteracion conductual,alteracion conductual,alteracion conductual,procedure,3,False,,
O9972,Asma part,Asma part,asma part,diagnosis,O,True,D,Enfermedades de la piel y el tejido subcutáneo que complican el parto
O3403,útero bicorne parto,útero bicorne parto,utero bicorne parto,diagnosis,O,True,D,"Atención materna por malformación congénita del útero no especificada, tercer trimestre"
0HBV0ZZ,REDUCCIÓN MAMARIA BILATERAL,REDUCCIÓN MAMARIA BILATERAL,reduccion mamaria bilateral,procedure,0,True,P,"Escisión de mama, bilateral, abordaje abierto"
R55,presíncope,presíncope,presincope,diagnosis,R,True,D,Síncope y colapso
B030Y0Z,RM cerebral amb contrast,RM cerebral amb contrast,rm cerebral amb contrast,diagnosis,B,True,P,"Imagen por resonancia magnética (rm) de cerebro, sin contraste y con contraste, con otro contraste"
O3421,cesárea anterior,cesárea anterior,cesarea anterior,diagnosis,O,True,D,Atención materna por cicatriz de cesárea anterior
S72102A,FRACTURA PERTROCANTEREA FEMUR IZQUIERDO,FRACTURA PERTROCANTEREA FEMUR IZQUIERDO,fractura pertrocanterea femur izquierdo,diagnosis,S,True,D,"Fractura de trocánter no especificado de fémur izquierdo, contacto inicial por fractura cerrada"
I456,WPW parto,WPW parto,wpw parto,diagnosis,I,True,D,Síndrome de preexcitación
R509,Síndrome febril,Síndrome febril,sindrome febril,diagnosis,R,True,D,"Fiebre, no especificada"
0UT90ZZ,histerectomia total,histerectomia total,histerectomia total,procedure,0,True,P,"Resección de útero, abordaje abierto"
5421,laparoscopia,laparoscopia,laparoscopia,procedure,5,False,,
Z87828,Historia de Politrauma,Historia de Politrauma,historia de politrauma,diagnosis,Z,True,D,Historia personal de otras lesiones físicas y traumatismos (curados)
Z3A40,SG:40+2,SG:40+2,sg:40+2,diagnosis,Z,True,D,40 semanas de gestación
BY4FZZZ,Ecografías obst,Ecografías obst,ecografias obst,diagnosis,B,True,P,"Ecografía de tercer trimestre, feto único"
L0231,absceso glúteo,absceso glúteo,absceso gluteo,diagnosis,L,True,D,Absceso cutáneo de nalga
O480,primigesta de 40,primigesta de 40,primigesta de 40,diagnosis,O,True,D,Embarazo postérmino
25000,DM tipo 2,DM tipo 2,dm tipo 2,procedure,2,False,,
P0734,Prematuridad 31,Prematuridad 31,prematuridad 31,diagnosis,P,True,D,"Recién nacido pretérmino, edad gestacional de 31 semanas completas"
I5030,hta icc,hta icc,hta icc,diagnosis,I,True,D,"Insuficiencia cardiaca diastólica (congestiva), no especificada"
M797,FIBROMIÀLGIA,FIBROMIÀLGIA,fibromialgia,diagnosis,M,True,D,Fibromialgia
L900,liquen escleroso,liquen escleroso,liquen escleroso,diagnosis,L,True,D,Liquen escleroso y atrófico
E0500,Graves,Graves,graves,diagnosis,E,True,D,Tirotoxicosis con bocio difuso sin crisis tirotóxica ni tormenta tiroidea
F1010,BEBEDOR,BEBEDOR,bebedor,diagnosis,F,True,D,"Abuso de alcohol, sin complicaciones"
O864,Fiebre posparto,Fiebre posparto,fiebre posparto,diagnosis,O,True,D,Pirexia de origen desconocido después del parto
N10,pielonefritis del injerto renal,pielonefritis del injerto renal,pielonefritis del injerto renal,diagnosis,N,True,D,Pielonefritis aguda
K449,hernia hiato parto,hernia hiato parto,hernia hiato parto,diagnosis,K,True,D,Hernia diafragmática sin obstrucción ni gangrena
M47812,Artrosis cervical,Artrosis cervical,artrosis cervical,diagnosis,M,True,D,"Espondilosis sin mielopatía ni radiculopatía, región cervical"
L209,dematitis atópica parto,dematitis atópica parto,dematitis atopica parto,diagnosis,L,True,D,"Dermatitis atópica, no especificada"
R441,alucinaciones visuales,alucinaciones visuales,alucinaciones visuales,diagnosis,R,True,D,Alucinaciones visuales
F418,Síndrome ansioso-depresivo parto,Síndrome ansioso-depresivo parto,sindrome ansioso-depresivo parto,diagnosis,F,True,D,Otros trastornos de ansiedad especificados
Z881,Alergia a tetraciclinas,Alergia a tetraciclinas,alergia a tetraciclinas,diagnosis,Z,True,D,Estado de alergia a otros antibióticos
Y92410,via publica,via publica,via publica,diagnosis,Y,True,D,Calle y carretera no especificadas como lugar del acontecimiento de la causa externa
Z91018,ALERGIA A ALIMENTOS,ALERGIA A ALIMENTOS,alergia a alimentos,diagnosis,Z,True,D,Alergia a otros alimentos
4414,biopsia estomac,biopsia estomac,biopsia estomac,procedure,4,False,,
0HBU0ZZ,Tumorectomía (mama izquierda,Tumorectomía (mama izquierda,tumorectomia (mama izquierda,procedure,0,True,P,"Escisión de mama, izquierda, abordaje abierto"
K449,Hernia diafragmatica,Hernia diafragmatica,hernia diafragmatica,diagnosis,K,True,D,Hernia diafragmática sin obstrucción ni gangrena
F1020,hábito enólico importante,hábito enólico importante,habito enolico importante,diagnosis,F,True,D,"Dependencia de alcohol, sin complicaciones"
E1129,nefropatía dm,nefropatía dm,nefropatia dm,diagnosis,E,True,D,Diabetes mellitus tipo 2 con otra complicación renal diabética
Z87891,ex-fumador,ex-fumador,ex-fumador,diagnosis,Z,True,D,Historia personal de dependencia a nicotina
0SBC4ZZ,regularización meniscal der,regularización meniscal der,regularizacion meniscal der,procedure,0,True,P,"Escisión de articulación rodilla, derecha, abordaje endoscópico percutáneo"
Z853,Historia de neoplasia de mama,Historia de neoplasia de mama,historia de neoplasia de mama,diagnosis,Z,True,D,Historia personal de neoplasia maligna de mama
C541,ADENOCARCINOMA ENDOMETRIOIDE,ADENOCARCINOMA ENDOMETRIOIDE,adenocarcinoma endometrioide,diagnosis,C,True,D,Neoplasia maligna de endometrio
N186,hta irc 6 icc,hta irc 6 icc,hta irc 6 icc,diagnosis,N,True,D,Enfermedad renal en estadio terminal
L02411,Absceso axila derecha,Absceso axila derecha,absceso axila derecha,diagnosis,L,True,D,Absceso cutáneo de axila derecha
O99344,depresión y ansiedad parto,depresión y ansiedad parto,depresion y ansiedad parto,diagnosis,O,True,D,Otros trastornos mentales que complican el parto
0T9330Z,nefrostomia bilateral,nefrostomia bilateral,nefrostomia bilateral,procedure,0,True,P,"Drenaje en pelvis renal, derecha, con dispositivo de drenaje, abordaje percutáneo"
Z3A40,: 40+6,: 40+6,: 40+6,diagnosis,Z,True,D,40 semanas de gestación
R7881,Bacterièmia,Bacterièmia,bacteriemia,diagnosis,R,True,D,Bacteriemia
BW21ZZZ,TAC ABDOMINOPELVICO,TAC ABDOMINOPELVICO,tac abdominopelvico,diagnosis,B,True,P,Tomografía computarizada (scanner tc) de abdomen y pelvis
07T60ZZ,LINFADENECTOMÍA AXILAR izq,LINFADENECTOMÍA AXILAR izq,linfadenectomia axilar izq,procedure,0,True,P,"Resección de linfático, axilar izquierdo, abordaje abierto"
Z6841,IMC 41,IMC 41,imc 41,diagnosis,Z,True,D,"Índice de masa corporal [IMC] 40.0-44.9, adulto"
2752,hipomagnesemia,hipomagnesemia,hipomagnesemia,procedure,2,False,,
1550,HEPATOBLASTOMA,HEPATOBLASTOMA,hepatoblastoma,procedure,1,False,,
Z3A38,38 sem,38 sem,38 sem,diagnosis,Z,True,D,38 semanas de gestación
3E0G76Z,nutrición enteral,nutrición enteral,nutricion enteral,procedure,3,True,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial"
5180,Atelectasi pulmonar,Atelectasi pulmonar,atelectasi pulmonar,procedure,5,False,,
O00102,Gestación ectópica (tubárica) izquierda,Gestación ectópica (tubárica) izquierda,gestacion ectopica (tubarica) izquierda,diagnosis,O,True,D,Embarazo tubárico izquierdo sin embarazo intrauterino
3510,paresia facial izquierda,paresia facial izquierda,paresia facial izquierda,procedure,3,False,,
O694XX0,vasa previa,vasa previa,vasa previa,diagnosis,O,True,D,"Trabajo de parto y parto complicados por vasa previa, no aplicable o no especificado"
O322XX0,TRANSVERSA,TRANSVERSA,transversa,diagnosis,O,True,D,"Atención materna por posición transversa y oblicua, no aplicable o no especificado"
9929,Venofer,Venofer,venofer,procedure,9,False,,
2851,Anemia sang,Anemia sang,anemia sang,procedure,2,False,,
O99284,intolerancia Lactosa parto,intolerancia Lactosa parto,intolerancia lactosa parto,diagnosis,O,True,D,"Enfermedades endocrinas, nutricionales y metabólicas que complican el parto"
E890,Hipotiroidismo qx,Hipotiroidismo qx,hipotiroidismo qx,diagnosis,E,True,D,Hipotiroidismo posprocedimiento
R011,Soplo sistòlico,Soplo sistòlico,soplo sistolico,diagnosis,R,True,D,"Soplo cardíaco, no especificado"
V1551,h Fractura,h Fractura,h fractura,diagnosis,V,False,,
E039,hipotiroidismo,hipotiroidismo,hipotiroidismo,diagnosis,E,True,D,"Hipotiroidismo, no especificado"
BW00ZZZ,Rx Abdomen,Rx Abdomen,rx abdomen,diagnosis,B,True,P,Radiografía simple de abdomen
N6019,mastopatía fibroquística,mastopatía fibroquística,mastopatia fibroquistica,diagnosis,N,True,D,Mastopatía quística difusa de mama no especificada
78060,Febricula,Febricula,febricula,procedure,7,False,,
E7800,Hipercolesterolema,Hipercolesterolema,hipercolesterolema,diagnosis,E,True,D,"Hipercolesterolemia pura, no especificada"
6149,EPI,EPI,epi,procedure,6,False,,
5733,Hepatitis aguda,Hepatitis aguda,hepatitis aguda,procedure,5,False,,
I4891,FA rápida,FA rápida,fa rapida,diagnosis,I,True,D,Fibrilación auricular no especificada
27800,Obesidad part,Obesidad part,obesidad part,procedure,2,False,,
S134XXA,esguince cervical,esguince cervical,esguince cervical,diagnosis,S,True,D,"Esguince de ligamentos de columna cervical, contacto inicial"
K660,adherencia a epiplón,adherencia a epiplón,adherencia a epiplon,diagnosis,K,True,D,Adherencias peritoneales (posprocedimiento) (posinfección)
K2950,gastritis cronica parto,gastritis cronica parto,gastritis cronica parto,diagnosis,K,True,D,Gastritis crónica no especificada sin hemorragia
53081,RGE,RGE,rge,procedure,5,False,,
O9972,Dermatitis de contacto parto,Dermatitis de contacto parto,dermatitis de contacto parto,diagnosis,O,True,D,Enfermedades de la piel y el tejido subcutáneo que complican el parto
E119,DM2,DM2,dm2,diagnosis,E,True,D,Diabetes mellitus tipo 2 sin complicaciones
O1414,Preeclamsia grave,Preeclamsia grave,preeclamsia grave,diagnosis,O,True,D,"Preeclampsia grave, que complica el parto"
Z3A36,36.2 semanas,36.2 semanas,36.2 semanas,diagnosis,Z,True,D,36 semanas de gestación
K589,colon irritable part,colon irritable part,colon irritable part,diagnosis,K,True,D,Síndrome de intestino irritable sin diarrea
R1030,dolor abdomino-pélvico,dolor abdomino-pélvico,dolor abdomino-pelvico,diagnosis,R,True,D,"Dolor en abdomen inferior, no especificado"
R109,DOLOR ABDOMINAL,DOLOR ABDOMINAL,dolor abdominal,diagnosis,R,True,D,Dolor abdominal no especificado
9929,Sedación,Sedación,sedacion,procedure,9,False,,
D890,Hipergammaglobulinemia policlonal,Hipergammaglobulinemia policlonal,hipergammaglobulinemia policlonal,diagnosis,D,True,D,Hipergammaglobulinemia policlonal
64843,Depresión anteparto,Depresión anteparto,depresion anteparto,procedure,6,False,,
Z8572,Historia de Linfoma,Historia de Linfoma,historia de linfoma,diagnosis,Z,True,D,Historia personal de linfomas no Hodgkin
81241,fr. supracondílea húmero,fr. supracondílea húmero,fr. supracondilea humero,procedure,8,False,,
3E0F7SF,gafas nasales,gafas nasales,gafas nasales,procedure,3,True,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial"
