Code,Literal,Code_clean,Literal_basic,in_icd_reference,D_P,Description
0VN90ZZ,detorsión testicular derecho,0VN90ZZ,detorsión testicular derecho,True,P,"Liberación de testículo, derecho, abordaje abierto"
E860,deshidratado,E860,deshidratado,True,D,Deshidratación
J45909,Asma part,J45909,Asma part,True,D,"Asma no especificada, sin complicaciones"
E211,Hiperparatiroidismo secundario a déficit de vit D,E211,Hiperparatiroidismo secundario a déficit de vit D,True,D,"Hiperparatiroidismo secundario, no clasificado bajo otro concepto"
G43909,cefalea migrañosa,G43909,cefalea migrañosa,True,D,"Migraña, no especificada, no intratable, sin estatus migrañoso"
E042,tiroides multinodular,E042,tiroides multinodular,True,D,Bocio multinodular no tóxico
40390,HTA IRC,40390,HTA IRC,False,,
37700,papiledema,37700,papiledema,False,,
6823,miomectomía histeroscópica,6823,miomectomía histeroscópica,False,,
98613,lma,98613,lma,False,,
Z20822,SARS-CoV-2 negatius,Z20822,SARS-CoV-2 negatius,True,D,Contacto y (sospecha de) exposición a COVID-19
L03115,celulitis eid,L03115,celulitis eid,True,D,Celulitis de extremidad inferior derecha
2270,Tumoración suprarrenal derecha,2270,Tumoración suprarrenal derecha,False,,
Z794,insulino,Z794,insulino,True,D,Uso prolongado (actual) de insulina
07BC0ZX,bsgc pelvic,07BC0ZX,bsgc pelvic,True,P,"Escisión de linfático, pelvis, diagnóstico, abordaje abierto"
A46,ERISIPELA EN EXTREMIDAD SUPERIOR DERECHA,A46,ERISIPELA EN EXTREMIDAD SUPERIOR DERECHA,True,D,Erisipela
0UT74ZZ,Anexectomía bilateral lap,0UT74ZZ,Anexectomía bilateral lap,True,P,"Resección de trompas de falopio, bilateral, abordaje endoscópico percutáneo"
S022XXA,Fx de huesos propios de la nariz,S022XXA,Fx de huesos propios de la nariz,True,D,"Fractura de huesos nasales, contacto inicial por fractura cerrada"
R51,Cefalea,R51,Cefalea,True,D,Cefalea
O30033,Monocorial Biamniótico,O30033,Monocorial Biamniótico,True,D,"Embarazo gemelar monocoriónico/ diamniótico, tercer trimestre"
07TC0ZZ,cistectomía radical,07TC0ZZ,cistectomía radical,True,P,"Resección de linfático, pelvis, abordaje abierto"
V9103,bicorial/biamniótico,V9103,bicorial/biamniótico,True,D,Quemadura debida a fuego en otra embarcación motorizada
0HHU0NZ,expansor mama izq,0HHU0NZ,expansor mama izq,True,P,"Inserción en mama, izquierda, de expansor tisular, abordaje abierto"
3E0337Z,ondansetrón,3E0337Z,ondansetrón,True,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo"
N809,Endometriosis part,N809,Endometriosis part,True,D,"Endometriosis, no especificada"
87363,fractura dent,87363,fractura dent,False,,
O9081,Anemia pueperio,O9081,Anemia pueperio,True,D,Anemia puerperal
O0090,GEU,O0090,GEU,True,D,"Embarazo ectópico no especificado, sin embarazo intrauterino"
N805,617.5,N805,617.5,True,D,Endometriosis intestinal
BW30ZZZ,RMN abd,BW30ZZZ,RMN abd,True,P,Imagen por resonancia magnética (rm) de abdomen
O714,desgarro en vagina,O714,desgarro en vagina,True,D,"Desgarro vaginal obstétrico alto, único"
I4892,Flutter auricular,I4892,Flutter auricular,True,D,Flutter auricular no especificado
78060,febril,78060,febril,False,,
10D17ZZ,Legrado obstétrico,10D17ZZ,Legrado obstétrico,True,P,"Extracción de productos de la concepción, retenidos, abordaje orificio natural o artificial"
9929,paracetamol,9929,paracetamol,False,,
2809,Anemia hipocromica microcitica,2809,Anemia hipocromica microcitica,False,,
3E0337Z,ondansetron,3E0337Z,ondansetron,True,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo"
P011,rpm rn,P011,rpm rn,True,D,Recién nacido afectado por rotura prematura de membranas
J440,EPOC infeccion respiratoria,J440,EPOC infeccion respiratoria,True,D,Enfermedad pulmonar obstructiva crónica con infección (aguda) de las vías respiratorias inferiores
C61,Neoplasia de próstata,C61,Neoplasia de próstata,True,D,Neoplasia maligna de próstata
7243,Lumbociatica,7243,Lumbociatica,False,,
F05,sd confusional,F05,sd confusional,True,D,Delirio debido a afección fisiológica conocida
6039,hidrocele,6039,hidrocele,False,,
25060,Polineuropatía diabética 2,25060,Polineuropatía diabética 2,False,,
M797,FIBROMIALGIA,M797,FIBROMIALGIA,True,D,Fibromialgia
9906,fibrinógeno,9906,fibrinógeno,False,,
Z603,barrera idiomàtica,Z603,barrera idiomàtica,True,D,Dificultades por aculturación
0BBN3ZX,Biòpsia pleural derecha,0BBN3ZX,Biòpsia pleural derecha,True,P,"Escisión de pleura, derecha, diagnóstico, abordaje percutáneo"
0796,VRS,0796,VRS,False,,
1976,peritoneal,1976,peritoneal,False,,
T25322A,Quemadura 3 pie izquierdo,T25322A,Quemadura 3 pie izquierdo,True,D,"Quemadura de tercer grado del pie izquierdo, contacto inicial"
M3500,síndrome seco,M3500,síndrome seco,True,D,"Síndrome de Sjögren, no especificado"
Z91419,maltrato historia,Z91419,maltrato historia,True,D,Historia personal de maltrato en adulto no especificado
1410,ca base de lengua,1410,ca base de lengua,False,,
Z8611,Historia tuberculosa,Z8611,Historia tuberculosa,True,D,Historia personal de tuberculosis
3482,Hipertensión intracraneal benigna,3482,Hipertensión intracraneal benigna,False,,
56032,Fecaloma,56032,Fecaloma,False,,
2271,Adenoma paratiroides,2271,Adenoma paratiroides,False,,
E46,E46,E46,E46,True,D,Malnutrición calórico-proteica no especificada
M1990,Patología artrodegenerativa,M1990,Patología artrodegenerativa,True,D,"Artrosis no especificada, localización no especificada"
5794,Sondatge vesical,5794,Sondatge vesical,False,,
C9310,lmmc,C9310,lmmc,True,D,"Leucemia mielomonocítica crónica, sin haber alcanzado remisión"
08RJ3JZ,FACO + LIO OD,08RJ3JZ,FACO + LIO OD,True,P,"Sustitución de cristalino, derecho, con sustituto sintético, abordaje percutáneo"
E6601,Obesidad Mórbida,E6601,Obesidad Mórbida,True,D,Obesidad mórbida (severa) por exceso de calorías
6561,anexectomia bialteral,6561,anexectomia bialteral,False,,
O700,o700,O700,o700,True,D,Desgarro perineal de primer grado en el parto
3439,pci,3439,pci,False,,
Z6711,Grupo sanguíneo: A Rh negativo,Z6711,Grupo sanguíneo: A Rh negativo,True,D,"Grupo sanguíneo A, Rh negativo"
9911,gamma anti d,9911,gamma anti d,False,,
G253,mioclonias,G253,mioclonias,True,D,Mioclonía
Z3A36,36+1 semanas,Z3A36,36+1 semanas,True,D,36 semanas de gestación
B951,S. Agalactiae,B951,S. Agalactiae,True,D,"Estreptococo, grupo B, como causa de enfermedades clasificadas bajo otro concepto"
5600,Invaginació intestinal,5600,Invaginació intestinal,False,,
99859,INFECCIÓN HERIDA QUIRÚRGICA,99859,INFECCIÓN HERIDA QUIRÚRGICA,False,,
R633,Problemas alimentacion,R633,Problemas alimentacion,True,D,Dificultades para la alimentación
0HB1XZZ,exeresis piel nariz,0HB1XZZ,exeresis piel nariz,True,P,"Escisión de piel, cara, abordaje externo"
O700,Desgarro de 1º grado,O700,Desgarro de 1º grado,True,D,Desgarro perineal de primer grado en el parto
V4581,bypass coronarios,V4581,bypass coronarios,False,,
O700,Desgarro 1,O700,Desgarro 1,True,D,Desgarro perineal de primer grado en el parto
33829,Dolor crónico,33829,Dolor crónico,False,,
BV44ZZZ,Ecografía escrot,BV44ZZZ,Ecografía escrot,True,P,Ecografía de escroto
07TD0ZZ,linfadenectomia paraaortica,07TD0ZZ,linfadenectomia paraaortica,True,P,"Resección de linfático, aórtico, abordaje abierto"
BR00ZZZ,radiografías cervicales,BR00ZZZ,radiografías cervicales,True,P,Radiografía simple de columna cervical
65843,corioamnionitis anteparto,65843,corioamnionitis anteparto,False,,
Z902,LOBECTOMIA,Z902,LOBECTOMIA,True,D,Ausencia adquirida (de parte) del pulmón
55010,Hernia inguinal izquierda incarcerada,55010,Hernia inguinal izquierda incarcerada,False,,
Z20822,PCR SARSCOV2 negativa,Z20822,PCR SARSCOV2 negativa,True,D,Contacto y (sospecha de) exposición a COVID-19
B3732,candidiasis vulvovaginal,B3732,candidiasis vulvovaginal,True,D,Candidiasis crónica de vulva y vagina
42760,extrasístoles,42760,extrasístoles,False,,
099500Z,DTT,099500Z,DTT,True,P,"Drenaje en oído medio, derecho, con dispositivo de drenaje, abordaje abierto"
V270,recién nacida,V270,recién nacida,True,D,Conductor de motocicleta lesionado en colisión con objeto fijo o estacionado en un accidente no de tráfico
N281,quistes sinusales renales,N281,quistes sinusales renales,True,D,"Quiste de riñón, adquirido"
4539,Trombosis,4539,Trombosis,False,,
3E0F7GC,nebulitzat,3E0F7GC,nebulitzat,True,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial"
I10,Hipertensió arterial,I10,Hipertensió arterial,True,D,Hipertensión esencial (primaria)
H509,Estrabismo,H509,Estrabismo,True,D,Estrabismo no especificado
V1506,Al·lergia acaros,V1506,Al·lergia acaros,False,,
O30043,Gestación bicorial-biamniótica,O30043,Gestación bicorial-biamniótica,True,D,"Embarazo gemelar dicoriónico/ diamniótico, tercer trimestre"
M7550,Tendinitis supraespinoso hombro derecho,M7550,Tendinitis supraespinoso hombro derecho,True,D,"Bursitis de hombro, lado no especificado"
O00101,GEU tubarico derecha,O00101,GEU tubarico derecha,True,D,Embarazo tubárico derecho sin embarazo intrauterino
L280,LIQUEN,L280,LIQUEN,True,D,Liquen simple crónico
S32402A,Fractura de acetábulo izquierdo,S32402A,Fractura de acetábulo izquierdo,True,D,"Fractura no especificada de acetábulo izquierdo, contacto inicial por fractura cerrada"
V861,RE negativos,V861,RE negativos,True,D,Pasajero de todoterreno especial u otro vehículo todoterreno lesionado en accidente de tráfico
3129,alteracion conductual,3129,alteracion conductual,False,,
O9972,Asma part,O9972,Asma part,True,D,Enfermedades de la piel y el tejido subcutáneo que complican el parto
O3403,útero bicorne parto,O3403,útero bicorne parto,True,D,"Atención materna por malformación congénita del útero no especificada, tercer trimestre"
0HBV0ZZ,REDUCCIÓN MAMARIA BILATERAL,0HBV0ZZ,REDUCCIÓN MAMARIA BILATERAL,True,P,"Escisión de mama, bilateral, abordaje abierto"
R55,presíncope,R55,presíncope,True,D,Síncope y colapso
B030Y0Z,RM cerebral amb contrast,B030Y0Z,RM cerebral amb contrast,True,P,"Imagen por resonancia magnética (rm) de cerebro, sin contraste y con contraste, con otro contraste"
O3421,cesárea anterior,O3421,cesárea anterior,True,D,Atención materna por cicatriz de cesárea anterior
S72102A,FRACTURA PERTROCANTEREA FEMUR IZQUIERDO,S72102A,FRACTURA PERTROCANTEREA FEMUR IZQUIERDO,True,D,"Fractura de trocánter no especificado de fémur izquierdo, contacto inicial por fractura cerrada"
I456,WPW parto,I456,WPW parto,True,D,Síndrome de preexcitación
R509,Síndrome febril,R509,Síndrome febril,True,D,"Fiebre, no especificada"
0UT90ZZ,histerectomia total,0UT90ZZ,histerectomia total,True,P,"Resección de útero, abordaje abierto"
5421,laparoscopia,5421,laparoscopia,False,,
Z87828,Historia de Politrauma,Z87828,Historia de Politrauma,True,D,Historia personal de otras lesiones físicas y traumatismos (curados)
Z3A40,SG:40+2,Z3A40,SG:40+2,True,D,40 semanas de gestación
BY4FZZZ,Ecografías obst,BY4FZZZ,Ecografías obst,True,P,"Ecografía de tercer trimestre, feto único"
L0231,absceso glúteo,L0231,absceso glúteo,True,D,Absceso cutáneo de nalga
O480,primigesta de 40,O480,primigesta de 40,True,D,Embarazo postérmino
25000,DM tipo 2,25000,DM tipo 2,False,,
P0734,Prematuridad 31,P0734,Prematuridad 31,True,D,"Recién nacido pretérmino, edad gestacional de 31 semanas completas"
I5030,hta icc,I5030,hta icc,True,D,"Insuficiencia cardiaca diastólica (congestiva), no especificada"
M797,FIBROMIÀLGIA,M797,FIBROMIÀLGIA,True,D,Fibromialgia
L900,liquen escleroso,L900,liquen escleroso,True,D,Liquen escleroso y atrófico
E0500,Graves,E0500,Graves,True,D,Tirotoxicosis con bocio difuso sin crisis tirotóxica ni tormenta tiroidea
F1010,BEBEDOR,F1010,BEBEDOR,True,D,"Abuso de alcohol, sin complicaciones"
O864,Fiebre posparto,O864,Fiebre posparto,True,D,Pirexia de origen desconocido después del parto
N10,pielonefritis del injerto renal,N10,pielonefritis del injerto renal,True,D,Pielonefritis aguda
K449,hernia hiato parto,K449,hernia hiato parto,True,D,Hernia diafragmática sin obstrucción ni gangrena
M47812,Artrosis cervical,M47812,Artrosis cervical,True,D,"Espondilosis sin mielopatía ni radiculopatía, región cervical"
L209,dematitis atópica parto,L209,dematitis atópica parto,True,D,"Dermatitis atópica, no especificada"
R441,alucinaciones visuales,R441,alucinaciones visuales,True,D,Alucinaciones visuales
F418,Síndrome ansioso-depresivo parto,F418,Síndrome ansioso-depresivo parto,True,D,Otros trastornos de ansiedad especificados
Z881,Alergia a tetraciclinas,Z881,Alergia a tetraciclinas,True,D,Estado de alergia a otros antibióticos
Y92410,via publica,Y92410,via publica,True,D,Calle y carretera no especificadas como lugar del acontecimiento de la causa externa
Z91018,ALERGIA A ALIMENTOS,Z91018,ALERGIA A ALIMENTOS,True,D,Alergia a otros alimentos
4414,biopsia estomac,4414,biopsia estomac,False,,
0HBU0ZZ,Tumorectomía (mama izquierda,0HBU0ZZ,Tumorectomía (mama izquierda,True,P,"Escisión de mama, izquierda, abordaje abierto"
K449,Hernia diafragmatica,K449,Hernia diafragmatica,True,D,Hernia diafragmática sin obstrucción ni gangrena
F1020,hábito enólico importante,F1020,hábito enólico importante,True,D,"Dependencia de alcohol, sin complicaciones"
E1129,nefropatía dm,E1129,nefropatía dm,True,D,Diabetes mellitus tipo 2 con otra complicación renal diabética
Z87891,ex-fumador,Z87891,ex-fumador,True,D,Historia personal de dependencia a nicotina
0SBC4ZZ,regularización meniscal der,0SBC4ZZ,regularización meniscal der,True,P,"Escisión de articulación rodilla, derecha, abordaje endoscópico percutáneo"
Z853,Historia de neoplasia de mama,Z853,Historia de neoplasia de mama,True,D,Historia personal de neoplasia maligna de mama
C541,ADENOCARCINOMA ENDOMETRIOIDE,C541,ADENOCARCINOMA ENDOMETRIOIDE,True,D,Neoplasia maligna de endometrio
N186,hta irc 6 icc,N186,hta irc 6 icc,True,D,Enfermedad renal en estadio terminal
L02411,Absceso axila derecha,L02411,Absceso axila derecha,True,D,Absceso cutáneo de axila derecha
O99344,depresión y ansiedad parto,O99344,depresión y ansiedad parto,True,D,Otros trastornos mentales que complican el parto
0T9330Z,nefrostomia bilateral,0T9330Z,nefrostomia bilateral,True,P,"Drenaje en pelvis renal, derecha, con dispositivo de drenaje, abordaje percutáneo"
Z3A40,: 40+6,Z3A40,: 40+6,True,D,40 semanas de gestación
R7881,Bacterièmia,R7881,Bacterièmia,True,D,Bacteriemia
BW21ZZZ,TAC ABDOMINOPELVICO,BW21ZZZ,TAC ABDOMINOPELVICO,True,P,Tomografía computarizada (scanner tc) de abdomen y pelvis
07T60ZZ,LINFADENECTOMÍA AXILAR izq,07T60ZZ,LINFADENECTOMÍA AXILAR izq,True,P,"Resección de linfático, axilar izquierdo, abordaje abierto"
Z6841,IMC 41,Z6841,IMC 41,True,D,"Índice de masa corporal [IMC] 40.0-44.9, adulto"
2752,hipomagnesemia,2752,hipomagnesemia,False,,
1550,HEPATOBLASTOMA,1550,HEPATOBLASTOMA,False,,
Z3A38,38 sem,Z3A38,38 sem,True,D,38 semanas de gestación
3E0G76Z,nutrición enteral,3E0G76Z,nutrición enteral,True,P,"Introducción en gastrointestinal superior de sustancia nutricional, abordaje orificio natural o artificial"
5180,Atelectasi pulmonar,5180,Atelectasi pulmonar,False,,
O00102,Gestación ectópica (tubárica) izquierda,O00102,Gestación ectópica (tubárica) izquierda,True,D,Embarazo tubárico izquierdo sin embarazo intrauterino
3510,paresia facial izquierda,3510,paresia facial izquierda,False,,
O694XX0,vasa previa,O694XX0,vasa previa,True,D,"Trabajo de parto y parto complicados por vasa previa, no aplicable o no especificado"
O322XX0,TRANSVERSA,O322XX0,TRANSVERSA,True,D,"Atención materna por posición transversa y oblicua, no aplicable o no especificado"
9929,Venofer,9929,Venofer,False,,
2851,Anemia sang,2851,Anemia sang,False,,
O99284,intolerancia Lactosa parto,O99284,intolerancia Lactosa parto,True,D,"Enfermedades endocrinas, nutricionales y metabólicas que complican el parto"
E890,Hipotiroidismo qx,E890,Hipotiroidismo qx,True,D,Hipotiroidismo posprocedimiento
R011,Soplo sistòlico,R011,Soplo sistòlico,True,D,"Soplo cardíaco, no especificado"
V1551,h Fractura,V1551,h Fractura,False,,
E039,hipotiroidismo,E039,hipotiroidismo,True,D,"Hipotiroidismo, no especificado"
BW00ZZZ,Rx Abdomen,BW00ZZZ,Rx Abdomen,True,P,Radiografía simple de abdomen
N6019,mastopatía fibroquística,N6019,mastopatía fibroquística,True,D,Mastopatía quística difusa de mama no especificada
78060,Febricula,78060,Febricula,False,,
E7800,Hipercolesterolema,E7800,Hipercolesterolema,True,D,"Hipercolesterolemia pura, no especificada"
6149,EPI,6149,EPI,False,,
5733,Hepatitis aguda,5733,Hepatitis aguda,False,,
I4891,FA rápida,I4891,FA rápida,True,D,Fibrilación auricular no especificada
27800,Obesidad part,27800,Obesidad part,False,,
S134XXA,esguince cervical,S134XXA,esguince cervical,True,D,"Esguince de ligamentos de columna cervical, contacto inicial"
K660,adherencia a epiplón,K660,adherencia a epiplón,True,D,Adherencias peritoneales (posprocedimiento) (posinfección)
K2950,gastritis cronica parto,K2950,gastritis cronica parto,True,D,Gastritis crónica no especificada sin hemorragia
53081,RGE,53081,RGE,False,,
O9972,Dermatitis de contacto parto,O9972,Dermatitis de contacto parto,True,D,Enfermedades de la piel y el tejido subcutáneo que complican el parto
E119,DM2,E119,DM2,True,D,Diabetes mellitus tipo 2 sin complicaciones
O1414,Preeclamsia grave,O1414,Preeclamsia grave,True,D,"Preeclampsia grave, que complica el parto"
Z3A36,36.2 semanas,Z3A36,36.2 semanas,True,D,36 semanas de gestación
K589,colon irritable part,K589,colon irritable part,True,D,Síndrome de intestino irritable sin diarrea
R1030,dolor abdomino-pélvico,R1030,dolor abdomino-pélvico,True,D,"Dolor en abdomen inferior, no especificado"
R109,DOLOR ABDOMINAL,R109,DOLOR ABDOMINAL,True,D,Dolor abdominal no especificado
9929,Sedación,9929,Sedación,False,,
D890,Hipergammaglobulinemia policlonal,D890,Hipergammaglobulinemia policlonal,True,D,Hipergammaglobulinemia policlonal
64843,Depresión anteparto,64843,Depresión anteparto,False,,
Z8572,Historia de Linfoma,Z8572,Historia de Linfoma,True,D,Historia personal de linfomas no Hodgkin
81241,fr. supracondílea húmero,81241,fr. supracondílea húmero,False,,
3E0F7SF,gafas nasales,3E0F7SF,gafas nasales,True,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial"
V603,Vive solo,V603,Vive solo,True,D,Ocupante no especificado de vehículo de transporte pesado lesionado en colisión con peatón o animal en un accidente no de tráfico
BT10ZZZ,CISTOGRAFIA,BT10ZZZ,CISTOGRAFIA,True,P,Radioscopia de vejiga
64891,colitis ulcerosa parto,64891,colitis ulcerosa parto,False,,
J342,septoplastia,J342,septoplastia,True,D,Tabique nasal desviado
Z91048,Alergia al níquel,Z91048,Alergia al níquel,True,D,Estado de alergia a otras sustancias no medicinales
V148,Alergias a INZITAN,V148,Alergias a INZITAN,False,,
J00,RINITIS aguda,J00,RINITIS aguda,True,D,Nasofaringitis aguda [resfriado común]
Z86718,Historia de TROMBOSIS,Z86718,Historia de TROMBOSIS,True,D,Historia personal de otro tipo de trombosis y embolia venosas
2724,Dilipemia,2724,Dilipemia,False,,
Z90710,Histerectomía total,Z90710,Histerectomía total,True,D,"Ausencia adquirida de ambos, de cuello uterino y de útero"
Z20822,SARS-COV2 negativo,Z20822,SARS-COV2 negativo,True,D,Contacto y (sospecha de) exposición a COVID-19
4051,linfadenectomía axila,4051,linfadenectomía axila,False,,
Z593,institucionalizado,Z593,institucionalizado,True,D,Problemas relacionados con la vida en una institución residencial
Z3A32,itu 3t,Z3A32,itu 3t,True,D,32 semanas de gestación
2410,Nódulos tiroideos,2410,Nódulos tiroideos,False,,
M6284,sarcopenia,M6284,sarcopenia,True,D,Sarcopenia
29532,Esquizofrenia paranoide,29532,Esquizofrenia paranoide,False,,
61172,nodulo mama,61172,nodulo mama,False,,
N390,infección urinaria,N390,infección urinaria,True,D,"Infección de tracto urinario, localización no especificada"
0D9P70Z,sonda rectal,0D9P70Z,sonda rectal,True,P,"Drenaje en recto, con dispositivo de drenaje, abordaje orificio natural o artificial"
O9089,RAO posparto,O9089,RAO posparto,True,D,Otras complicaciones del puerperio no clasificadas bajo otro concepto
9396,CNAF,9396,CNAF,False,,
009U3ZX,Punció lumbar,009U3ZX,Punció lumbar,True,P,"Drenaje en canal espinal, diagnóstico, abordaje percutáneo"
R34,oliguria,R34,oliguria,True,D,Anuria y oliguria
O745,Cefalea dural posparto,O745,Cefalea dural posparto,True,D,Cefalea inducida por anestesia espinal y epidural durante el trabajo de parto y parto
Z6710,Grupo A positivo,Z6710,Grupo A positivo,True,D,"Grupo sanguíneo A, Rh positivo"
O640XX0,distocia de descenso,O640XX0,distocia de descenso,True,D,"Trabajo de parto obstruido debido a rotación incompleta de la cabeza fetal, no aplicable o no especificado"
0UT94ZZ,Histerectomia lap,0UT94ZZ,Histerectomia lap,True,P,"Resección de útero, abordaje endoscópico percutáneo"
C61,Ca próstata,C61,Ca próstata,True,D,Neoplasia maligna de próstata
C642,NEOPLASIA RENAL IZQUIERDA,C642,NEOPLASIA RENAL IZQUIERDA,True,D,"Neoplasia maligna de riñón izquierdo, excepto pelvis renal"
R269,TRASTORNO DE LA MARCHA,R269,TRASTORNO DE LA MARCHA,True,D,Alteraciones de la marcha y de la movilidad no especificadas
6816,Biòpsia endometrio,6816,Biòpsia endometrio,False,,
Z6740,"Grupo sanguíneo materno: 0, Rh: Positivo",Z6740,"Grupo sanguíneo materno: 0, Rh: Positivo",True,D,"Grupo sanguíneo O, Rh positivo"
42769,Extrasístoles ventriculares,42769,Extrasístoles ventriculares,False,,
I447,brihh,I447,brihh,True,D,"Bloqueo de rama izquierda, no especificado"
O328XX2,podálica 2,O328XX2,podálica 2,True,D,"Atención materna por otra presentación anómala del feto, feto 2"
Z90721,ooforectomia izquierda,Z90721,ooforectomia izquierda,True,D,"Ausencia adquirida de ovario, unilateral"
K449,hernia hiato,K449,hernia hiato,True,D,Hernia diafragmática sin obstrucción ni gangrena
74900,Paladar fes,74900,Paladar fes,False,,
56729,peritonitis purulenta,56729,peritonitis purulenta,False,,
B349,B34.9,B349,B34.9,True,D,"Infección viral, no especificada"
6262,hipermenorrees,6262,hipermenorrees,False,,
O24420,dga1,O24420,dga1,True,D,"Diabetes mellitus gestacional en el parto, con control dietético"
F418,Síndrome ansioso-depresivo,F418,Síndrome ansioso-depresivo,True,D,Otros trastornos de ansiedad especificados
65811,rotura prematura de membranas,65811,rotura prematura de membranas,False,,
28243,Alfa-talasemia,28243,Alfa-talasemia,False,,
1820,CARCINOMA ENDOMETRIO,1820,CARCINOMA ENDOMETRIO,False,,
Z6741,: 0 negativo.,Z6741,: 0 negativo.,True,D,"Grupo sanguíneo O, Rh negativo"
E119,diabetes mellitus,E119,diabetes mellitus,True,D,Diabetes mellitus tipo 2 sin complicaciones
V9111,BC/TA,V9111,BC/TA,True,D,Aplastamiento entre barco de pasajeros y otra embarcación u otro objeto debido a colisión
Z6730,Grupo sanguineo: AB Rh: positivo,Z6730,Grupo sanguineo: AB Rh: positivo,True,D,"Grupo sanguíneo AB, Rh positivo"
E790,HIPERURICÈMIA,E790,HIPERURICÈMIA,True,D,Hiperuricemia sin signos de artritis inflamatoria y enfermedad tofácea
Z7901,Anticoagulacion,Z7901,Anticoagulacion,True,D,Uso prolongado (actual) de anticoagulantes
E119,dmnid,E119,dmnid,True,D,Diabetes mellitus tipo 2 sin complicaciones
0DTJ0ZZ,apendicectomia,0DTJ0ZZ,apendicectomia,True,P,"Resección de apéndice, abordaje abierto"
K561,invaginación ileo-colica,K561,invaginación ileo-colica,True,D,Invaginación
