id,Literal,y_category
271,angioma,9
272,esterilidad primaria,N
273,utero doble parto,Q
274,cuerpo extraño esofago,9
275,Carcinoma Urotelial,8
276,GS: A. Rh +,Z
277,TC toraco,B
278,Doppler renal,B
279,pneumotórax bilateral,J
280,diabético,E
281,hipotiroidisme part,E
282,ALERGIA AL YODO,Z
283,talasemia minor,D
284,Intolerancia a la lactosa,E
285,parto precipitado,O
286,Adhesiolisis,5
287,válvula aórtica bicúspide,Q
288,Bocio parto,E
289,Sinusitis crónica,J
290,ECOcardiograma nen,B
291,Institucionalizado,Z
292,Enantyum,9
293,ecografía escrotal,B
294,mioma subserosos,D
295,Fibrinógeno,9
296,colpocele,N
297,Artritis Psoriásica,L
298,0 positiu,Z
299,embolización arterias uterinas,0
300,obesidad part,Z
301,Alérgica a ibuprofeno,Z
302,Alergia a soja,Z
303,abdominalgia,R
304,Endoscopia digestiva alta.,B
305,Parto estacionado,O
306,Alérgica a penicilinas,Z
307,acidois metabolica,E
308,652.81,O
309,RX Abdomen,B
310,Hernia discal parto,O
311,TGD,E
312,Hiperplasia benigna de próstata,N
313,npt,5
314,MIomas,8
315,Broncodisplasia pulmonar congenita,Q
316,Neoplasia de cólon ascendente,C
317,TC tòrax,8
318,Sobrepeso,E
319,41+2 semanas,Z
320,miopia magna,H
321,pólipo,5
322,placenta previa oclusiva total,O
323,historia TBC,Z
324,RxTX,B
325,MACROSOMIA FETAL,O
326,LEGRADO ENDOMETRIAL,1
327,E.faecalis,B
328,ansiedad parto,O
329,tabaco parto,F
330,pustulosis,L
331,Hermana ca. mama,Z
332,triple by-pass,Z
333,antibioticoterápia,3
334,PÓLIPOS ENDOMETRIALES,N
335,expansor mama derecha,0
336,Migraña parto,O
337,Hipertensión irc,4
338,parotidectomia total,2
339,laringotraqueobronquitis,J
340,desgarro parauretral,O
341,Ooforectomía bilateral,Z
342,LUPUS,L
343,Faringoamigdalitis aguda,J
344,decanulación traqueostomia,9
345,absceo vagina,N
346,Ecografia obst,B
347,Haemophilus influenzae,B
348,alergia al látex,Z
349,vancomicina,9
350,Vive en la calle,Z
351,GS: AB-.,Z
352,Z65.8,Z
353,prótesis mamaria,Z
354,legrado uterino evacuador,1
355,Eco abdominal,8
356,ANEXECTOMÍA BILATERAL PROFILÁCTICA,0
357,:O positivo,Z
358,Retraso de crecimiento intrauterino,O
359,escoliosis parto,O
360,Infección tracte urinari,N
361,extracción manual Placenta,1
362,hcl,I
363,itu rn,P
364,hemorragia posparto,O
365,pérdida de peso,R
366,IRVS,N
367,Obesitat parto,6
368,hiperglucemia dm,2
369,gea rotavirus,B
370,gemelar bicorial biamniótico,O
371,Útero miomatoso parto,D
372,coagulación laser feto,6
373,mioma submucos,D
374,polipectomia ciego,V
375,Trasplante hepático,Z
376,Neoplàsia maligna ovari,1
377,Cirrosi hepàtica,5
378,"Grupo sanguíneo: 0, Rh. positivo",Z
379,hidratación,9
380,nalgas 2,6
381,biopsia de médula ósea,4
382,Histerectomía total laparoscópica,0
383,CATETERISMO URETERAL DERECHO,3
384,sd constitucional,R
385,SAMS,A
386,caida en deporte,Y
387,GSRh: A postivo,Z
388,fumadora 2t,O
389,Preclampsia Leve,O
390,Apendicitis aguda amb peritonitis,K
391,Historia de Adenocarcinoma de prostata,Z
392,Bacteriemia por E. Coli,B
393,EICH crónico,D
394,pemfigoide,L
395,distócico,6
396,ECOGRAFÍA DE CUELLO,B
397,ANTIBIOTERAPIA,3
398,GsRh: O positivo,Z
399,Còlic,3
400,Misoprostol,3
401,ECO Abdominal,8
402,domicilio,E
403,J44.1,J
404,Ecografia d'aparell urinari (renal-bufeta-pròstata,B
405,Síndrome metabólico,E
406,seroma,9
407,duodenitis,K
408,CIN I parto,6
409,RECEPTORES DE ESTROGENOS: negativos,Z
410,Neoplasia mucinosa apendicular,C
411,Rasgo talasémico part,O
412,Furosemida,9
413,recien nacido muerto,Z
414,ecocardiograma,8
415,Colon irritable,K
416,CARCINOMA SEROSO PAPILAR,8
417,hipoxemia rn,P
418,Prostatectomía radical,0
419,PUNCIÓN DURAL posparto,6
420,venofer,3
421,Angio-RMN cerebral,B
422,Incompetencia cervical anteparto,6
423,histerectomia total,6
424,42,Z
425,adiposidad abdominal,R
426,Hashimoto parto,E
427,IT severa,I
428,amenaza de parto prematuro,O
429,fimosis,N
430,im,3
431,41 +,O
432,quirúrgic,9
433,METATARSALGIA izq,N
434,Escoliosis part,M
435,enterococo faecium,B
436,SIADH,E
437,fractura,8
438,Hernia crural izquierda,5
439,MELENAS,D
440,HIPERPLASIA ENDOMETRIAL BENIGNA,N
441,Azoospermia,N
442,Neuralgia del trigemino,G
443,GASTRITIS EOSINOFÍLICA,K
444,adencarcinoma endometrioide,8
445,apendicectomia laparoscópica,4
446,VARICECTOMIA,Z
447,Síndrome depresivo reactivo,F
448,ileitis,5
449,colelitiasis parto,K
450,Fuma parto,O
451,H66.012,H
452,podalica,1
453,ansiedad y depresión,F
454,POLIPO endometrial,N
455,cesària anterior,O
456,Historia de intento autolítico,Z
457,0 Negativo,Z
458,absceso retrofaríngeo,4
459,Legrado puerperal,1
460,tin,3
461,displasia ectodérmica,Q
462,Trombofilia parto,O
463,Discapacidad intelectual moderada,F
464,Alergia al polen,Z
465,Rasgo talasémico part,O
466,RX de tórax,B
467,Grupo sanguíneo: O RH +,Z
468,ASMA part,J
469,Bloqueo de rama izquierda,I
470,HIPOTIROIDISMO part,E
471,fumadora part,O
472,ABORTO DIFERIDO,1
473,o99112,P
474,doble anexectomia lap,6
475,FA,I
476,Esofagitis eosinofilica,K
477,Von Willebrand part,D
478,desnutricio,E
479,:41.1,Z
480,Neo de mama izqda,C
481,quimioterapia,9
482,EX-fumado,Z
483,ilpp pie izquierdo,0
484,asma parto,O
485,DPF,6
486,nefrostomia derecha,0
487,PARTO PRECIPITADO,O
488,PROCIDENCIA DE MANO,T
489,Talla baja,R
490,GS : A negativo,Z
491,Alergia a pescado,Z
492,Hipertensión Insuficiencia cardíaca Insuficiencia renal crónica,I
493,Linfadenectomía axilar derecha,4
494,v5042,Z
495,Klebsiella,B
496,Espondilolistesis,7
497,hta irc 3,N
498,neoplasia hipofaringe,1
499,VPH parto,6
500,Cordocentesis,3
501,ALERGIAS Sulfamidas,Z
502,Asma parto,J
503,GSRh O + (,Z
504,candidiasis vaginal 2t,O
505,ascitis maligna,5
506,LEIOMIOMA SUBMUCOSO,D
507,pancreatectomia,Z
508,RMN DE COLUMNA,B
509,Ecodoppler renal,B
510,Enfermedad de Alzheimer,G
511,Cuerpo extraño esofágico,T
512,Bronquitis aguda VRS,J
513,GSRh A positivo,Z
514,SG:40,Z
515,TAC de Abdomen,8
516,sangrado tras RRSS,N
517,Malalta renal crònica,5
518,NEOPLASIA MALIGNA DE MAMA DERECHA,C
519,depresión parto,F
520,Portador de traqueostomía,Z
521,ha TBC,Z
522,Hipertensión Insuficiencia cardíca,I
523,gestación ectópica izquierda,O
524,IMC 44,Z
525,historia iam,Z
526,útero arcuato parto,O
527,Disminucion de movimientos fetales,O
528,talasemia minor part,O
529,41+1 SEMANAS,Z
530,casa,E
531,INTRATECAL,3
532,Ecografia tòrax,B
533,hernia hiato parto,K
534,trombosis vena renal,N
535,dexametasona,9
536,varices uterinas,6
537,ESPÁTULAS,1
538,estimulación oxitocinica,3
539,feto grande,O
540,Estreñimiento,K
541,pàrto,O
542,Taquimiocardiopatia,I
543,distocia 2,6
544,gastritis parto,K
545,hepatomegàlia,5
546,Endometrioma ovárico izquierdo,N
547,intolerancia hidratos de carbono parto,O
548,talasemia minor parto,D
549,Dolor abdominal en flanco derecho,R
550,Inmunoglobulina,9
551,Hiperplasia endometrial con atipias,N
552,Proctitis ulcerosa.,K
553,Histerectomía,6
554,vómitos,R
555,ESPATULAS,1
556,Pánico,R
557,Anexectomia bilateral,6
558,SONDA VESICAL,0
559,Anemia crónico,2
560,infección vaginal,N
561,covid historia,Z
562,Tromboembolismo pulmonar,I
563,Radiogradía de tórax,B
564,Hipoglucemia rn,P
565,Laparoscopia exploradora,5
566,Esplenectomia,Z
567,Miocardiopatía dilatada,I
568,fmo,J
569,Fusion vertebral,7
570,MIocardiopatía dilatada isquémica,I
571,POLIPECTOMÍA endometrial HISTEROSCÓPICA,0
572,DEFICIT DE ACIDO FOLICO,E
573,drenaje torácico izquierdo,0
574,Biopsia de arteria temporal,4
575,distocia de hombro,1
576,bicorial biamniotica,O
577,Hidrocortisona,3
578,lèrgica a Penicil,Z
579,PEG parto,6
580,radiografia de torax,B
581,ateromatosis calcificada aortoilíaca,I
582,ADENOCARCINOMA ENDOCERVICAL,C
583,Adenocarcinoma endometrioide,8
584,AAS,Z
585,Radiografia toràcica,B
586,asma extrinseca,J
587,déficit vit.D,E
588,Infección qx,9
589,obesidad part,Z
590,ABSCESO VAGINAL,N
591,vhc parto,O
592,sd .constitucional,F
593,profilatica ovario,6
594,HTA part,O
595,HISTERECTOMIA,0
596,catéter arterial,3
597,Vértigo de Meniere,H
598,diarreica,R
599,Carcinome de endometrio,C
600,DTT od,H
601,esterilidad,N
602,frenectomia lingual,4
603,HIPOPOTASEMIA,E
604,40 semanas rn,Z
605,anemia neoplasia,2
606,Diverticulosis,K
607,Aplasia post-quimioterapia,D
608,tumorectomía mama derecha,0
609,Eco ABD,8
610,Ex fumador,Z
611,Necrobiosis lipoidica,L
612,"Hermana, cáncer de mama",Z
613,Amenaza de parto inmaduro,O
614,ne SNG,3
615,fisura anal,K
616,tit,5
617,acidosis respiratòria,E
618,Cesària ant anteparto,6
619,B00.2,B
620,HIPOTIROIDISMO,E
621,polimialgia reumatica,7
622,tumorectomia mama DERECHA,0
623,DTT bilateral,0
624,celiaca parto,K
625,cirugía bariátrica part,O
626,esofagitis cronica,K
627,hipoglucèmia,E
628,hidratación,9
629,OBESIDAD,E
630,Ecografías obs,B
631,Intolerancia a la Lactosa parto,E
632,Hepatitis B Crónica,B
633,ECO obs,8
634,LINFADENECTOMIA Paraaortica,0
635,caida d,W
636,Ex-prematuro,V
637,salpinguectomía bilateral,0
638,Enfermedad de Graves,E
639,VENTOSA,O
640,ERC 3,N
641,crisis convulsiva,R
642,albúmina iv,3
643,Hidrocefalia,G
644,HEMATURIA,R
645,Vitiligen,L
646,Carcinoma intraductal mama derecha,C
647,prurito part,L
648,ILE) por Trisomía 21,O
649,Pielonefritis aguda por E. Coli,N
650,IMC: 47,Z
651,STUI,R
652,Prostatectomía,Z
653,Historia de radio,Z
654,Trombocitopenia part,D
655,Grupo sanguíneo: A Rh +,Z
656,rPBF,O
657,Miopia part,O
658,quemadura 2 cuello,T
659,Perineoplastia,1
660,"GS: B , Rh:+",Z
661,Sdme ansioso,3
662,GS. O+,Z
663,T85.730A,T
664,Madden der,0
665,edema escrotal,N
666,Hernia hiatal,5
667,anti D,3
668,covid historia,Z
669,Ex-hábito enólico,F
670,Hepatitis B,B
671,Gastritis cronica,K
672,hta irc terminal,N
673,anti D,3
674,fórceps,7
675,VE,I
676,Metrorragia del segundo trimestr,O
677,EXPANSOR mama DERECHA,0
678,NEOPLASIA MALIGNA DE PROSTATA,C
679,Talasemia minor parto,D
680,divertículo uretral,N
681,QUISTECTOMIA DERECHA VÍA LAPAROSCÓPICA,0
682,STC bilateral,Z
683,Migranya hemiplègica,G
684,Amigdalitis aguda,J
685,derivada de Residencia,Z
686,mastectomia ahorradora de piel,8
687,Estreñimiento crónico,K
688,leucopenia,2
689,o72.1,R
690,Vive solo,Z
691,Ca. epidermoide de laringe,C
692,heparina,9
693,SAHS,G
694,isquemia crónica grado IV,4
695,SALPINGITIS,N
696,Síndrome del túnel carpiano,G
697,TUMORECTOMÍA mama izq,0
698,CA MAMA IZQUIERDA,C
699,disqueratosis congénita,7
700,gemelos anteparto,6
701,leiomiomas,8
702,Rectorragia,K
703,Derrame pleural,J
704,carcinoma lobulillar infiltrante,8
705,historia polipo colon,V
706,pródromos de parto,O
707,esofagitis,5
708,IMC:41,Z
709,Apendicectomía,4
710,j9600,J
711,Alérgica a Nolotil,Z
712,Desgarro II,O
713,Biopsia endometrio,6
714,Hematoma de pared abdominal postquirúrgico,9
715,adenocarcinoma endometrioide,8
716,Historia Carcinoma tiroides,Z
717,Linfadenectomía aórtica,4
718,Transtorno depresivo,F
719,Disuria,R
720,endometritis puerperal,6
721,b Negativo,Z
722,zika parto,O
723,POlIPO ENDOMETRIAL,N
724,fibromialgia part,O
725,Seroteràpia,3
726,PROTESIS TOTAL DE RODILLA IZQUIERDA cementado,Z
727,itu E. Coli,B
728,graves,R
729,parotidectomia superficial,2
730,ESTENOSIS DE URETRA,N
731,carcinoma lobulillar,8
732,biopsia selectiva ganglio centinela,4
733,HISTERECTOMIA TOTAL SIMPLE,0
734,podàlica,O
735,vuelta de cordón,O
736,HISTERECTOMÍA,0
737,Herpes Zoster,A
738,Hipertensió irc,4
739,Protesis mamarias,Z
740,HTA iRC 5 icc,I
741,Trastorno adaptativo mixto ansioso-depresivo,F
742,agenesia renal,Q
743,Fractura acuñamiento vertebral D7,8
744,CARCINOMA COLOIDE,8
745,Microprolactinoma,2
746,Sigmoidectomía,Z
747,Historia de qt,Z
748,HISTERECTOMIA abdominal,0
749,RVU congenito,7
750,blee,Z
751,linfadenectomia,4
752,Hipotiroidisimo parto,E
753,Cos estrany faringe,3
754,esteatosis hepática parto,K
755,discectomía L5-S1,0
756,itu,5
757,Gastritis crónica,K
758,Apendicectomia laparoscòpica,4
759,Ansiedad Generalizada part,F
760,Arrítmia paroxística,I
761,Alergia a la penicilina,Z
762,Cierre de ductus percutáneo con amplatzer al año de vida,0
763,Multiparidad,6
764,neoplasia de mama ucs,1
765,EVENTRACION,3
766,Gestación bicorial / biamniótica,O
767,IRC agudizada,N
768,Dolor neuropático,G
769,aplasia,2
770,Malaltia pulmonar obstructiva crònica,J
771,Anemia enfermedad renal,D
772,laringits moderada,J
773,cuidado de traqueostomía,Z
774,Prostatismo,N
775,obesitat part,O
776,cesareas previas,O
777,IMC 34,Z
778,Hipoparatiroidismo parto,E
779,ADENOCARCINOMA IN SITU,8
780,Ecografia vies urinàries,B
781,hta icc irc,I
782,ile por trisomía 21,O
783,claudicacion familiar,O
784,Lumbociática crónica,M
785,Obesidad Mórbida parto,E
786,infección de vías urinarias,N
787,COLECCIÓN INTRABDOMINAL,0
788,da lap,0
789,rinovirus,B
790,CONIZACIÓN CERVICAL,2
791,Desnutrición,2
792,cARCINOMA MAMA IZQUIERDA,C
793,FISTULA URINARIA,N
794,carcinoma ductal infiltrante de mama derecha,C
795,FACO + LIO od,0
796,talasemia minor,D
797,multigravida añosa,6
798,34+6 semanas,Z
799,neoplasia mama bilateral,C
800,Alergia a los huevos,Z
801,41 sg,Z
802,anexectomía izquierda LAP,6
803,Hiperreactividad bronquial,J
804,obesidad parto,Z
805,Histerectomia vaginal,0
806,Ex- Fumadora,Z
807,historia AITs,Z
808,Anèmia ferropènica,2
809,NEOPLASIA DE MAMA BILATERAL,C
810,E88.09,E
811,Obesidad mórbida parto,E
812,hosp`,E
813,Drenajes pleurales,3
814,desgarro g.II,O
815,celulitis postseptal,L
816,ca endometrioide,8
817,Historia de ADENOCARCINOMA DE PRÓSTATA,Z
818,gestación tubárica derecha,O
819,Fibrilacion auricular permanente,I
820,Dolor epigástrico,R
821,ENDOMETRITIS PUERPERAL,6
822,gastritis parto,K
823,Traqueostomizado,Z
824,APENDICITS AGUDA,K
825,Bronquitis aguda Infección por Rhinovirus,J
826,cuerpo extraño en CAE,T
827,"0 , Rh: Positivo",Z
828,Síndrome intestino corto,K
829,desaturación,J
830,Levetiracetam,3
831,Esterilidad,6
832,Infarto talámico,I
833,Agudesa visual,H
834,Diverticulosis. Colónica,K
835,Bronquitis,J
836,R60.1,R
837,Deteriroro cognitivo,F
838,Anamia puerperal,O
839,CANCER DE MAMA bilateral,C
840,Grupo y Rh: A +,Z
841,Reflux gastroesofàgic,5
842,Exprematuro,V
843,protesis mama derecha,Z
844,ERGE,K
845,DESGARRO II GRADO,O
846,Esplenomegalia,2
847,Hipermenorrea,N
848,romboencefalitis,G
849,Mioma parto,D
850,"Disfàgia, fase oral",K
851,NBZ,3
852,PUNCIÓN DURAL posparto,6
853,decaiment,R
854,Asma greu,J
855,anemia microcítica hipocroma,D
856,úter miomatós,D
857,37+6 semanas,Z
858,Fistula traqueoesofágica,5
859,Ateromatosis aortoilíaca,4
860,insuficiencia valvular aortica,I
861,Historia de adenocarcinoma de próstata,Z
862,HIPOTIROIDISMO 3T,E
863,cifosis,7
864,empeoramiento de la función renal,N
865,Corioamnionitis parto,O
866,Anemia aguda,2
867,Miomatosis,2
868,Migraña crónica,G
869,38+3 semanas,Z
870,Varices esofàgiques,I
871,Linfadenectomia axilar,4
872,c772,C
873,Esquizofrenia Paranoide crónica,F
874,Mastalgia,N
875,cá endocérvix,6
876,ANTIBIOTICO,3
877,anticoagulacion,Z
878,Electromiograma,4
879,Anemización,D
880,Podálica,O
881,ANEXECTOMÍA BILATERAL LAPAROSCÓPICA,0
882,Nalgas puras,6
883,febre,7
884,Mioma intramural parto,D
885,dolor ciatico,7
886,utero bicorne part,Q
887,Aborto diferido,6
888,Asma parto,J
889,HIPOGLUCEMIA rn,P
890,Diarrea,7
891,TC-Toracoabdominal,B
892,abceso mama,N
893,SARM,B
894,Dermatitis atopica parto,L
895,Inestabilidad de la marcha,R
896,expansor mamario,1
897,Lumbalgias,7
898,Pancreatitis cronica,K
899,hemoperitoneo,5
900,Linfocele,Q
901,Infarto isquémico,I
902,Fibrilación auricular persistente,I
903,Hipotiroidisme,E
904,Hepatits aguda,K
905,Diabetis mellitus secundària,E
906,coxartrosis SECUNDARIA,M
907,K83.09,K
908,sondaje,0
909,drenaje abceso amigdala,4
910,cardiopatía hipertensiva irc,4
911,Artropatía psoriásica,M
912,Desgarro vaginal,O
913,Fisura palatina,7
914,intolerancia lactosa parto,O
915,Mastitis puerperal,O
916,anti-.D,3
917,absecso postquirurgico,9
918,Rinitis crónica,J
919,nutrición enteral por sonda nasogástrica,3
920,Artritis Reumatoide parto,M
921,ciprofloxacino,9
922,Ecografía 1t,B
923,supradescoagulación,2
924,quiste ovario derecho,N
925,FIBROADENOMA mama izq,D
926,color : teñido,O
927,Biopsia renal dreta,0
928,prolactinoma,8
929,Neumonía,J
930,Desgarro grado 2,O
931,caida casual en su domicilio,W
932,ARSA,4
933,ANEMIA pp,O
934,alergia frutos secos,Z
935,endoscopia digestiva alta,4
936,Cordón umbilical largo parto,O
937,Síndrome de Noonan,Q
938,Trastorno límite de la personalidad,F
939,Protesi maluc,6
940,J20.5,J
941,CISTECTOMÍA RADICAL ABIERTA,0
942,Colecistitis aguda colelitiasis,5
943,neumonia covid,J
944,Nefropatía IgA,N
945,medicamento,3
946,RMN cerebro,B
947,Fuma parto,O
948,Mioma subseroso part,D
949,64891,6
950,otitis media serosa,3
951,Alergia a PLV,Z
952,broncodilatadora,3
953,Implantes peritoneales,5
954,ansiedad parto,O
955,TIROIDECTOMÍA TOTAL,0
956,Hirsutismo facial,L
957,desgaroo de II grado,O
958,HIPERTENSIÓN ARTERIAL,I
959,Anemia macrocítica,D
960,Radiografía de pelvis,B
961,corticoideo,9
962,Telemetria,8
963,Retirada de barra de Nuss,2
964,GsRh: O +.,Z
965,colecistitis aguda litiásica,5
966,protesis parcial cadera izquierda,Z
967,hta irc 4,N
968,HERNIA DISCAL L4-L5 DERECHA,M
969,GS materno: A-,Z
970,taquicardia parto,O
971,Radiografía de craneo,B
972,canalización de vía periférica,3
973,ECO,8
974,HELLP,O
975,Macroglobulinemia de Waldestron,D
976,Prematuridad 1750,P
977,HIPERTIROIDISMO,E
978,bulimia nerviosa,F
979,hipotiroidismo parto,E
980,rao postparto,O
981,Hipertensión IRC,I
982,Obesitat morbida parto,E
983,Alergica a: codeína,Z
984,Otitis Media Seromucosa,H
985,inmunoglobulina,9
986,Enfermedad de Graves - Basedow,E
987,paracentesis,5
988,QUISTECTOMIA ovario IZQUIERDA LAPAROSCOPICA,0
989,Quiste tirogloso,Q
990,sacroileítis,M
991,Monocorial biamniotico,O
992,dtt,2
993,hirsutismo,L
994,Linfadenectomia,4
995,desgarro vaginal grado I,O
